Group Code,Group Name,Storage Type Code,Storage Type Name,Product Name,Product Code,Price,EA Price,Unit,Item Unit,Skun,Ean,Source,Vat,Vat percent,B2B,Status,Sort Arrange,Number Of Items,Weight Of Each Item
﻿Toothpaste,﻿Toothpaste,﻿Cover Case,﻿Cover Case,﻿Anchor All Round Protection Toothpaste 160g Free TB,﻿ARP,1.16,,﻿Unit,﻿,﻿8904000906299,﻿,Our Product,0,0,0,Active,1,,
﻿Toothpaste,﻿Toothpaste,﻿Cover Case,﻿Cover Case,﻿Anchor Cavity Protection & Whitening with HAP 150g Free TB,﻿HAP,1.59,,﻿Unit,﻿,﻿8904000908606,﻿,Our Product,0,0,0,Active,2,,
﻿Toothpaste,﻿Toothpaste,﻿Cover Case,﻿Cover Case,﻿Anchor Cooling Fresh Gel Toothpaste 150g Free TB,﻿CFR,1.25,,﻿Unit,﻿,﻿8904000900198,﻿,Our Product,0,0,0,Active,3,,
﻿Toothpaste,﻿Toothpaste,﻿Cover Case,﻿Cover Case,﻿Anchor Sensitive Toothpaste 100g Free TB,﻿AST,1.83,,﻿Unit,﻿,﻿8904000906305,﻿,Our Product,0,0,0,Active,4,,
﻿Toothpaste,﻿Toothpaste,﻿Cover Case,﻿Cover Case,﻿Anchor Kids Toothpastes Strawberry Flavour 50g Free TB,﻿AKS,0.98,,﻿Unit,﻿,﻿8904000906596,﻿,Our Product,0,0,0,Active,5,,
﻿Toothpaste,﻿Toothpaste,﻿Cover Case,﻿Cover Case,﻿Anchor Kids Toothpastes Orange Flavour 50g Free TB,﻿AKO,0.98,,﻿Unit,﻿,﻿8904000906589,﻿,Our Product,0,0,0,Active,6,,
﻿Toothpaste,﻿Toothpaste,﻿Cover Case,﻿Cover Case,﻿Anchor Kids Toothpastes Bubble Gum Flavour 50g Free TB,﻿AKB,0.98,,﻿Unit,﻿,﻿8904000906572,﻿,Our Product,0,0,0,Active,7,,
﻿Toothpaste,﻿Toothpaste,﻿Cover Case,﻿Cover Case,﻿Anchor Kids Toothpastes Bubble Gum Flavour 50g Free TB DK,﻿AKB DK,0.98,,﻿Unit,﻿,﻿8904000906091,﻿,Our Product,0,0,0,Deactive,8,,
﻿Toothpaste,﻿Toothpaste,﻿Cover Case,﻿Cover Case,﻿Anchor Kids Toothpastes Strawberry Gum Flavour 50g Free TB DK,﻿AKS DK,0.98,,﻿Unit,﻿,﻿8904000906084,﻿,Our Product,0,0,0,Deactive,,,
﻿Toothpaste,﻿Toothpaste,﻿Cover Case,﻿Cover Case,﻿Anchor All Round Protection Toothpaste 160g Free TB DK,﻿ARP DK,1.16,,﻿Unit,﻿,﻿8904000901423,﻿,Our Product,0,0,0,Deactive,,,
﻿Toothpaste,﻿Toothpaste,﻿Cover Case,﻿Cover Case,﻿Anchor Cooling Fresh Gel Toothpaste 150g Free TB DK,﻿CFR DK,1.25,,﻿Unit,﻿,﻿8904000906466,﻿,Our Product,0,0,0,Deactive,,,
